[09:41:06] [Render thread/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[09:41:06] [Render thread/INFO]: Setting user: Tear_white
[09:41:07] [Render thread/INFO]: Backend library: LWJGL version 3.2.2 build 10
[09:41:11] [Render thread/INFO]: Narrator library for x64 successfully loaded
[09:41:12] [Render thread/INFO]: Reloading ResourceManager: Default, Programmer Art, 沉梦之渊音效重置2.0.zip, 沉梦之渊材质包-天灾之下DLC（需解压）.zip
[09:41:12] [Render thread/WARN]: ResourcePack: ignored non-lowercase namespace: Don't move in d:\Users\Administrator\Documents\GitHub\DreamBorderX-MC-PVP\.minecraft\versions\1.16.1\resourcepacks\沉梦之渊音效重置2.0.zip
[09:41:12] [Render thread/WARN]: ResourcePack: ignored non-lowercase namespace: Don't move in d:\Users\Administrator\Documents\GitHub\DreamBorderX-MC-PVP\.minecraft\versions\1.16.1\resourcepacks\沉梦之渊材质包-天灾之下DLC（需解压）.zip
[09:41:13] [Worker-Main-14/WARN]: File minecraft:sounds/wrench.ogg does not exist, cannot add it to event minecraft:wrench
[09:41:13] [Worker-Main-14/WARN]: File minecraft:sounds/huhuan.ogg does not exist, cannot add it to event minecraft:huhuan
[09:41:13] [Worker-Main-14/WARN]: File minecraft:sounds/wrench.ogg does not exist, cannot add it to event minecraft:wrench
[09:41:13] [Worker-Main-14/WARN]: File minecraft:sounds/huhuan.ogg does not exist, cannot add it to event minecraft:huhuan
[09:41:18] [Worker-Main-9/WARN]: Unable to resolve texture reference: #missing in minecraft:item/car1
[09:41:18] [Worker-Main-9/WARN]: Unable to resolve texture reference: #missing in minecraft:item/car2
[09:41:18] [Worker-Main-14/ERROR]: Using missing texture, unable to load minecraft:textures/item/zhihe_electric_shock_stick.png : java.io.FileNotFoundException: minecraft:textures/item/zhihe_electric_shock_stick.png
[09:41:18] [Worker-Main-8/ERROR]: Using missing texture, unable to load minecraft:textures/block/sword_tang.png : java.io.FileNotFoundException: minecraft:textures/block/sword_tang.png
[09:41:18] [Worker-Main-13/ERROR]: Using missing texture, unable to load minecraft:textures/block/green_cmd_block.png : java.io.FileNotFoundException: minecraft:textures/block/green_cmd_block.png
[09:41:18] [Worker-Main-9/WARN]: Texture minecraft:item/zi with size 265x141 limits mip level from 4 to 0
[09:41:18] [Worker-Main-9/WARN]: minecraft:textures/atlas/blocks.png: dropping miplevel from 4 to 0, because of minimum power of two: 1
[09:41:19] [Render thread/INFO]: OpenAL initialized.
[09:41:19] [Render thread/INFO]: Sound engine started
[09:41:20] [Render thread/INFO]: Created: 1024x1024x0 minecraft:textures/atlas/blocks.png-atlas
[09:41:20] [Render thread/INFO]: Created: 256x128x4 minecraft:textures/atlas/signs.png-atlas
[09:41:20] [Render thread/INFO]: Created: 1024x512x4 minecraft:textures/atlas/banner_patterns.png-atlas
[09:41:20] [Render thread/INFO]: Created: 1024x512x4 minecraft:textures/atlas/shield_patterns.png-atlas
[09:41:20] [Render thread/INFO]: Created: 256x256x4 minecraft:textures/atlas/chest.png-atlas
[09:41:20] [Render thread/INFO]: Created: 512x256x4 minecraft:textures/atlas/beds.png-atlas
[09:41:20] [Render thread/INFO]: Created: 512x256x4 minecraft:textures/atlas/shulker_boxes.png-atlas
[09:41:21] [Render thread/INFO]: Created: 256x256x0 minecraft:textures/atlas/particles.png-atlas
[09:41:21] [Render thread/INFO]: Created: 512x256x0 minecraft:textures/atlas/paintings.png-atlas
[09:41:21] [Render thread/INFO]: Created: 2048x1024x0 minecraft:textures/atlas/mob_effects.png-atlas
[09:41:25] [Realms Notification Availability checker #1/INFO]: Could not authorize you against Realms server: Invalid session id
[09:41:29] [Render thread/INFO]: Connecting to dabaiyun.net, 19234
[09:41:32] [Render thread/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[09:41:33] [Render thread/INFO]: [CHAT] Tear_white joined the game
[09:41:33] [Render thread/INFO]: [CHAT] §e检测到玩家异常状况，已重置游戏
[09:41:34] [Render thread/INFO]: Loaded 466 advancements
[09:41:43] [Render thread/INFO]: [CHAT] LaggRemover >> Update downloaded! Your version: 2.0.5 Latest version: 2.0.6
[09:41:57] [Render thread/INFO]: [CHAT] §n游戏人数不足，建议人数5-9位
[09:42:10] [Render thread/INFO]: [CHAT] §e你是新手吗？§b点击我§e将获取此对局大部分的目的文字提示。不再提示
[09:42:10] [Render thread/INFO]: [CHAT] 晚安
[09:42:21] [Render thread/INFO]: [CHAT] 体魄：[年轻]
[09:42:25] [Render thread/INFO]: [CHAT] GLgele沉睡
[09:42:25] [Render thread/INFO]: [CHAT] Tear_white沉睡
[09:42:35] [Render thread/INFO]: [CHAT] Tear_white沉睡
[09:42:35] [Render thread/INFO]: [CHAT] GLgele沉睡
[09:42:50] [Render thread/INFO]: [CHAT] 保护者制止了杀手
[09:42:50] [Render thread/INFO]: [CHAT] A逃生者阵营获得10点积分A
[09:43:00] [Render thread/INFO]: [CHAT] Tear_white§e发出了提前结束游戏投票，§9点击我§e以赞成投票
[09:43:02] [Render thread/INFO]: [CHAT] ■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
[09:43:02] [Render thread/INFO]: [CHAT] §6   ---------------------   §c§l梦境熄灭§6   ---------------------
[09:43:02] [Render thread/INFO]: [CHAT]     清醒：个人胜利！
[09:43:02] [Render thread/INFO]: [CHAT] [调试]:强制结束游戏
[09:43:02] [Render thread/INFO]: [CHAT] ■■■■■■■■■■■■■■■■■■■■■■950120141■■■■■■■■■■■■■■■■■■■■■■■■■■
[09:43:26] [Render thread/INFO]: Stopping!
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] 
[09:42:18] [Render thread/INFO]: [CHAT] §e新手提示已开启
[09:42:21] [Render thread/INFO]: [CHAT] 体魄：[年轻]
[09:42:21] [Render thread/INFO]: [CHAT] §e[提示] ：现在是[§f§6第一阶段§e]，保持至上方倒计时进度条结束之前。
[09:42:21] [Render thread/INFO]: [CHAT] §e[提示] ：你的身份是：[§c§l杀手§e]，目的是击败[§b§l逃生者§e]。
[09:42:21] [Render thread/INFO]: [CHAT] §e[提示] ：尽可能不为人知地击败他们，刺杀是你的强项也是最安全的环境。
[09:42:25] [Render thread/INFO]: [CHAT] §e[提示] ：你失败了！游戏结束，你可以旁观此局游戏。
[09:42:25] [Render thread/INFO]: [CHAT] GLgele沉睡
[09:42:25] [Render thread/INFO]: [CHAT] Tear_white沉睡
[09:42:35] [Render thread/INFO]: [CHAT] Tear_white沉睡
[09:42:35] [Render thread/INFO]: [CHAT] GLgele沉睡
[09:42:50] [Render thread/INFO]: [CHAT] 保护者制止了杀手
[09:42:50] [Render thread/INFO]: [CHAT] A逃生者阵营获得10点积分A
[09:43:00] [Render thread/INFO]: [CHAT] Tear_white§e发出了提前结束游戏投票，§9点击我§e以赞成投票
[09:43:02] [Render thread/INFO]: [CHAT] ■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
[09:43:02] [Render thread/INFO]: [CHAT] §6   ---------------------   §c§l梦境熄灭§6   ---------------------
[09:43:02] [Render thread/INFO]: [CHAT]     清醒：个人胜利！
[09:43:02] [Render thread/INFO]: [CHAT] [调试]:强制结束游戏
[09:43:02] [Render thread/INFO]: [CHAT] ■■■■■■■■■■■■■■■■■■■■■■950120141■■■■■■■■■■■■■■■■■■■■■■■■■■
[09:43:25] [Render thread/INFO]: [CHAT] Tear_white left the game
[09:50:51] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
[09:50:52] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
[09:50:52] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
[09:50:53] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
[09:50:53] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
[09:50:53] [Render thread/INFO]: [CHAT] 你尚无法触发这个记分项
